Name,Department,Hostel No,Room no
Rahul,Computer Science,H1,101
Priya,Electrical,H2,202
Amit,Mechanical,H3,303
Sneha,Mathematics,H4,404
Name,Department,Hostel No,Room no
Rahul,Computer Science,H1,101
Priya,Electrical,H2,202
Amit,Mechanical,H3,303
Sneha,Mathematics,H4,404
Arjun,Computer Science,H1,102
Ananya,Electronics,H2,203
Rohan,Civil,H3,304
Kavya,Computer Science,H4,405
Vikram,Mechanical,H1,103
Neha,Electrical,H2,204
Aditya,Civil,H3,305
Ishita,Mathematics,H4,406
Karan,Computer Science,H1,104
Meera,Electronics,H2,205
Siddharth,Mechanical,H3,306
Name,Department,Hostel No,Room no
Rahul,Computer Science,H1,101
Priya,Electrical,H2,202
Amit,Mechanical,H3,303
Sneha,Mathematics,H4,404
Arjun,Computer Science,H1,102
Ananya,Electronics,H2,203
Rohan,Civil,H3,304
Kavya,Computer Science,H4,405
Vikram,Mechanical,H1,103
Neha,Electrical,H2,204
Aditya,Civil,H3,305
Ishita,Mathematics,H4,406
Karan,Computer Science,H1,104
Meera,Electronics,H2,205
Siddharth,Mechanical,H3,306
Pooja,Civil,H4,407
Varun,Computer Science,H1,105
Riya,Electrical,H2,206
Nikhil,Electronics,H3,307
Ayesha,Mathematics,H4,408
Harsh,Mechanical,H1,106
Divya,Computer Science,H2,207
Manish,Civil,H3,308
Tanvi,Electrical,H4,409
Akash,Computer Science,H1,107
Simran,Electronics,H2,208
Deepak,Mechanical,H3,309
Nandini,Mathematics,H4,410
Saurabh,Civil,H1,108
Shreya,Computer Science,H2,209
Abhishek,Electrical,H3,310
Mansi,Electronics,H4,411
Yash,Mechanical,H1,109
Aarohi,Computer Science,H2,210
Mohit,Civil,H3,311
Preeti,Mathematics,H4,412
Rajat,Electrical,H1,110
Komal,Electronics,H2,211
Anurag,Computer Science,H3,312
Swati,Mechanical,H4,413
